,0,1,2
0,assays1_yield_svm_1,0.5466577004773598,0.007722825039458717
1,assays2_yield_ridge_1,0.5893004883573165,0.004692517287412551
2,assays3_yield_svm_1,0.5943377658772341,0.007142733996827842
3,assays4_yield_svm_1,0.5980509086851679,0.006880175909578155
4,assays5_yield_forest_1,0.6174880926833963,0.00501561556398586
5,assays6_yield_ridge_1,0.6364425943188743,0.0032748598042994705
6,assays7_yield_ridge_1,0.669387409078589,0.005831117047100814
7,assays8_yield_forest_1,0.6401284063286511,0.014060246054517153
8,assays9_yield_forest_1,0.6624627998768868,0.008250700790846797
9,assays10_yield_svm_1,0.6331354555667783,0.008033769408835479
10,"assays1,2_yield_forest_1",0.5415798678650471,0.0070099137536239016
11,"assays1,3_yield_forest_1",0.568924057742934,0.013087123809824625
12,"assays1,4_yield_forest_1",0.548504900917195,0.012211998467253056
13,"assays1,5_yield_forest_1",0.5316708921077055,0.0048689391968773435
14,"assays1,6_yield_forest_1",0.5685524998618522,0.009132285217340098
15,"assays1,7_yield_forest_1",0.5298210741439905,0.005453051461790491
16,"assays1,8_yield_forest_1",0.5357488707960257,0.004877273726696751
17,"assays1,9_yield_forest_1",0.5356578159742919,0.007823897391755257
18,"assays1,10_yield_forest_1",0.5119265376780235,0.010900503508216286
19,"assays2,3_yield_svm_1",0.5856138079640199,0.007886831406401996
20,"assays2,4_yield_svm_1",0.5910301435848344,0.005001131469165253
21,"assays2,5_yield_forest_1",0.5932650216019666,0.0076718415512699
22,"assays2,6_yield_ridge_1",0.5928836818413784,0.005860381931577731
23,"assays2,7_yield_ridge_1",0.5717706558279279,0.0037246317196341313
24,"assays2,8_yield_forest_1",0.5763747449701547,0.008655088264414244
25,"assays2,9_yield_forest_1",0.5890814602345233,0.0117539419050739
26,"assays2,10_yield_svm_1",0.5727988005253338,0.007599783643506792
27,"assays3,4_yield_svm_1",0.5921726169768773,0.01044993832761969
28,"assays3,5_yield_ridge_1",0.5992156880845989,0.004083072390829893
29,"assays3,6_yield_svm_1",0.5903470410406101,0.006716463714173567
30,"assays3,7_yield_svm_1",0.5770116417549469,0.0048079148279476245
31,"assays3,8_yield_svm_1",0.5959714617744968,0.005541270119172525
32,"assays3,9_yield_svm_1",0.57656251463892,0.006438115784110484
33,"assays3,10_yield_svm_1",0.543130016511397,0.012610577701815012
34,"assays4,5_yield_forest_1",0.6001159789642296,0.006675242103488763
35,"assays4,6_yield_svm_1",0.6014144406567941,0.011789610908743841
36,"assays4,7_yield_ridge_1",0.5762039109039121,0.0048717614829409265
37,"assays4,8_yield_svm_1",0.5930363101048874,0.004413775873429732
38,"assays4,9_yield_forest_1",0.5823968706001692,0.011909508295793996
39,"assays4,10_yield_svm_1",0.548223255515091,0.007915432823773619
40,"assays5,6_yield_forest_1",0.6237510415995338,0.0057674806161578974
41,"assays5,7_yield_forest_1",0.6019894908144027,0.010561278831159687
42,"assays5,8_yield_forest_1",0.5796282779216846,0.009329990667120211
43,"assays5,9_yield_forest_1",0.5884496257183802,0.0038886896327040917
44,"assays5,10_yield_forest_1",0.6067039505021884,0.007458107981432538
45,"assays6,7_yield_ridge_1",0.6171471915746951,0.00590059227035835
46,"assays6,8_yield_forest_1",0.6187593058989105,0.012794533895202154
47,"assays6,9_yield_forest_1",0.634426065875837,0.005898086430764906
48,"assays6,10_yield_fnn_1",0.6307531975894529,0.00766487315361066
49,"assays7,8_yield_forest_1",0.621376420676977,0.008650956273307633
50,"assays7,9_yield_forest_1",0.6652029246953401,0.010163280634936689
51,"assays7,10_yield_ridge_1",0.6629299556525031,0.004542797133935445
52,"assays8,9_yield_forest_1",0.5974769919977401,0.010668277845369238
