,0,1
0,assays1_yield_svm_1,0.5466577004773598
1,assays2_yield_ridge_1,0.5893004883573165
2,assays3_yield_svm_1,0.5943377658772341
3,assays4_yield_svm_1,0.5980509086851679
4,assays5_yield_forest_1,0.6174880926833963
5,assays6_yield_ridge_1,0.6364425943188743
6,assays7_yield_ridge_1,0.669387409078589
7,assays8_yield_forest_1,0.6401284063286511
8,assays9_yield_forest_1,0.6624627998768868
9,assays10_yield_svm_1,0.6331354555667783
10,"assays1,2_yield_forest_1",0.5415798678650471
11,"assays1,3_yield_forest_1",0.568924057742934
12,"assays1,4_yield_forest_1",0.548504900917195
13,"assays1,5_yield_forest_1",0.5316708921077055
14,"assays1,6_yield_forest_1",0.5685524998618522
15,"assays1,7_yield_forest_1",0.5298210741439905
16,"assays1,8_yield_forest_1",0.5357488707960257
17,"assays1,9_yield_forest_1",0.5356578159742919
18,"assays1,10_yield_forest_1",0.5119265376780235
19,"assays2,3_yield_svm_1",0.5856138079640199
20,"assays2,4_yield_svm_1",0.5910301435848344
21,"assays2,5_yield_forest_1",0.5932650216019666
22,"assays2,6_yield_ridge_1",0.5928836818413784
23,"assays2,7_yield_ridge_1",0.5717706558279279
24,"assays2,8_yield_forest_1",0.5763747449701547
25,"assays2,9_yield_forest_1",0.5890814602345233
26,"assays2,10_yield_svm_1",0.5727988005253338
27,"assays3,4_yield_svm_1",0.5921726169768773
28,"assays3,5_yield_ridge_1",0.5992156880845989
29,"assays3,6_yield_svm_1",0.5903470410406101
30,"assays3,7_yield_svm_1",0.5770116417549469
31,"assays3,8_yield_svm_1",0.5959714617744968
32,"assays3,9_yield_svm_1",0.57656251463892
33,"assays3,10_yield_svm_1",0.543130016511397
34,"assays4,5_yield_forest_1",0.6001159789642296
35,"assays4,6_yield_svm_1",0.6014144406567941
36,"assays4,7_yield_ridge_1",0.5762039109039121
37,"assays4,8_yield_svm_1",0.5930363101048874
38,"assays4,9_yield_forest_1",0.5823968706001692
39,"assays4,10_yield_svm_1",0.548223255515091
40,"assays5,6_yield_forest_1",0.6237510415995338
41,"assays5,7_yield_forest_1",0.6019894908144027
42,"assays5,8_yield_forest_1",0.5796282779216846
43,"assays5,9_yield_forest_1",0.5884496257183802
44,"assays5,10_yield_forest_1",0.6067039505021884
45,"assays6,7_yield_ridge_1",0.6171471915746951
