,loss,status,train_loss,test_var,loss_std,hyperparam
0,1.0802297578913198,ok,1.051151316892159,0.35079732444439654,0.06243955908874576,"{'batch_size': 195.0, 'epochs': 0.6064167080444351, 'layers': 1.0, 'nodes': 26.0}"
1,0.8091351625068732,ok,0.7906786743595803,0.3499737493414995,0.024109697561604387,"{'batch_size': 164.0, 'epochs': 1.342397407979262, 'layers': 3.0, 'nodes': 12.0}"
2,0.6956625966469285,ok,0.6815308545329801,0.3487640562415706,0.014867699068807297,"{'batch_size': 164.0, 'epochs': 0.7496991175816181, 'layers': 2.0, 'nodes': 96.0}"
3,0.5977827731422611,ok,0.5431548580922947,0.3500951420724507,0.012197038247994712,"{'batch_size': 195.0, 'epochs': 1.911720877868934, 'layers': 2.0, 'nodes': 38.0}"
4,0.5869747142767856,ok,0.5541561550869757,0.349202766245262,0.00827266220264181,"{'batch_size': 136.0, 'epochs': 1.7027815343975177, 'layers': 1.0, 'nodes': 84.0}"
5,0.6315815348257072,ok,0.4956601169081963,0.34982351116525284,0.017100033237964534,"{'batch_size': 51.0, 'epochs': 1.6525206664144736, 'layers': 4.0, 'nodes': 75.0}"
6,0.6072306209327996,ok,0.5583625434463266,0.35110933771037894,0.014075302609492038,"{'batch_size': 14.0, 'epochs': 0.8746114962577214, 'layers': 5.0, 'nodes': 29.0}"
7,1.0134355473520527,ok,0.9973768417676837,0.3508975431721927,0.10752265407341066,"{'batch_size': 73.0, 'epochs': 1.2294364714743102, 'layers': 2.0, 'nodes': 5.0}"
8,0.6183997016774333,ok,0.48956179098471714,0.34914385653382146,0.013995235169360656,"{'batch_size': 110.0, 'epochs': 1.8595527923011181, 'layers': 4.0, 'nodes': 39.0}"
9,0.6067466661297867,ok,0.5281817232429963,0.34967689579914285,0.013551592831686898,"{'batch_size': 161.0, 'epochs': 1.469622788266999, 'layers': 3.0, 'nodes': 98.0}"
10,0.6310538052989798,ok,0.45359911443754514,0.3505893121255104,0.01864638846092137,"{'batch_size': 33.0, 'epochs': 1.837526056280067, 'layers': 3.0, 'nodes': 47.0}"
11,0.5973422037658132,ok,0.5242621244072483,0.3495091042647575,0.013701936671245368,"{'batch_size': 166.0, 'epochs': 1.8509930569498054, 'layers': 2.0, 'nodes': 59.0}"
12,0.6456076174955145,ok,0.43972895230406095,0.35018055586735486,0.015952492333103037,"{'batch_size': 27.0, 'epochs': 1.6935434074093851, 'layers': 3.0, 'nodes': 72.0}"
13,0.9314947783844489,ok,0.9287512432207109,0.35060567237513734,0.02407409292585865,"{'batch_size': 161.0, 'epochs': 0.2610933929884611, 'layers': 2.0, 'nodes': 98.0}"
14,0.5989935644339262,ok,0.5574239220351492,0.35008207464840896,0.009664414478184766,"{'batch_size': 139.0, 'epochs': 1.2718331104708538, 'layers': 3.0, 'nodes': 58.0}"
15,0.8918206386008276,ok,0.8846658872895758,0.34986792504661307,0.033899117592958695,"{'batch_size': 103.0, 'epochs': 1.6612940264993064, 'layers': 2.0, 'nodes': 4.0}"
16,0.9851993132525342,ok,0.9810565948065515,0.34944991382048723,0.032511445014705743,"{'batch_size': 77.0, 'epochs': 0.020881246090965533, 'layers': 1.0, 'nodes': 85.0}"
17,0.6475541499985973,ok,0.43684321490839934,0.3515031509588803,0.01689691858912034,"{'batch_size': 155.0, 'epochs': 1.997594032418637, 'layers': 3.0, 'nodes': 87.0}"
18,0.9043371275577659,ok,0.9055182284269433,0.3497753568302004,0.0148781115675609,"{'batch_size': 149.0, 'epochs': 0.10527407517005627, 'layers': 3.0, 'nodes': 94.0}"
19,0.5976509401476465,ok,0.5315152236029309,0.3493074786288012,0.007670205903587196,"{'batch_size': 47.0, 'epochs': 1.6418691155997143, 'layers': 2.0, 'nodes': 31.0}"
20,0.7652291434889074,ok,0.7551677317213402,0.3506032758647872,0.019804399402309478,"{'batch_size': 127.0, 'epochs': 1.0684652630364733, 'layers': 1.0, 'nodes': 64.0}"
21,0.6153170934336192,ok,0.594922559292639,0.3501381737595741,0.010730480734495241,"{'batch_size': 183.0, 'epochs': 1.4532926604594487, 'layers': 1.0, 'nodes': 76.0}"
22,0.7878357759033876,ok,0.7595604205857771,0.3474558385998898,0.0267902180392731,"{'batch_size': 119.0, 'epochs': 1.0662990708395335, 'layers': 1.0, 'nodes': 65.0}"
23,0.5933268428501989,ok,0.5499092630302365,0.35044605736713996,0.008658086670311977,"{'batch_size': 180.0, 'epochs': 1.9828992545311594, 'layers': 1.0, 'nodes': 52.0}"
24,0.5970560587825074,ok,0.5689317763266118,0.3501976118931444,0.018385309985967952,"{'batch_size': 95.0, 'epochs': 1.9753261088116805, 'layers': 1.0, 'nodes': 17.0}"
25,0.8815198146087713,ok,0.8684048195293309,0.34917865022296357,0.025720508828205934,"{'batch_size': 181.0, 'epochs': 0.48492296153667835, 'layers': 4.0, 'nodes': 50.0}"
26,0.6035999245440603,ok,0.5733700050258331,0.34890149635205675,0.010438572960152364,"{'batch_size': 136.0, 'epochs': 1.4942992762662053, 'layers': 1.0, 'nodes': 84.0}"
27,0.6050524699819808,ok,0.5250782179262419,0.34967468425508935,0.01020792624462974,"{'batch_size': 181.0, 'epochs': 1.7467662059809312, 'layers': 5.0, 'nodes': 42.0}"
28,1.1705698031535414,ok,1.1635832956718164,0.3494145543442645,0.11757856396973096,"{'batch_size': 199.0, 'epochs': 0.5389285075343475, 'layers': 1.0, 'nodes': 21.0}"
